language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
temb1276,-,-,-,-,m,u,k,u,y,-,-,-,-
xing1248,-,-,-,-,m,o,k,o,y,-,-,-,-
kama1373,-,-,-,-,m,o,k,o,y,-,-,-,-
waya1270,-,-,-,-,m,o,k,u,y,-,-,-,-
avac1239,-,-,-,-,m,o,k,o,y,-,-,-,-
kaya1329,-,-,-,-,m,u,k,u,y,-,-,-,-
east2555,-,-,-,-,m,o,k,o,y,-,-,-,-
para1311,-,-,-,-,m,o,k,o,y,-,-,-,-
mbya1239,-,-,-,-,m,o,k,o,y,-,-,-,-
guar1292,-,-,-,-,-,-,-,-,y,u,n,i,o
urub1250,-,-,-,-,m,o,k,o,y,-,-,-,-
nhen1239,-,-,-,-,m,u,k,u,y,-,-,-,-
amun1246,-,-,-,-,m,o,k,o,y,-,-,-,-
urue1240,-,-,-,-,m,o,k,o,y,-,-,-,-
tenh1241,-,-,-,-,m,o,k,o,5,-,-,-,-
emer1243,-,-,-,-,m,o,k,o,y,-,-,-,-
toca1235,-,-,-,-,m,o,k,o,y,-,-,-,-
para1312,-,-,-,-,m,o,k,o,y,-,-,-,-
tapi1254,-,-,-,-,m,o,k,o,y,-,-,-,-
suru1262,-,-,-,-,m,u,k,u,y,-,-,-,-
guaj1256,-,-,-,-,m,a,k,u,y,-,-,-,-
araw1273,-,-,-,-,m,u,k,u,i,-,-,-,-
coca1259,-,-,-,-,m,u,k,u,i,-,k,-,a
omag1248,-,-,-,-,m,u,k,u,y,-,k,i,a
xeta1241,-,-,-,-,m,o,k,a,y,-,-,-,-
yuqu1240,y,e,s,e,-,-,-,-,-,-,-,-,-
siri1273,j,e,r,e,m,o,-,-,-,-,-,-,-
sate1243,-,-,t,3,p,3,-,-,-,-,-,-,-
awet1244,-,-,-,-,m,o,k,o,y,-,-,-,-
