language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
kapp1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,u,-,-,-,-,-,-,-
tarp1240,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,r,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,k,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,n,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,g,-,-,-,u,-,-,-,z,-,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-,l,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,m,-,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,u,-,-,-,r,-,-,-,-,-,i,-
bari1286,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,u,-,-,-,d,-,-,-,-,-,-,-
male1289,-,-,-,-,-,-,-,m,-,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
