language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
mala1487,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,o,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,o,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,s,-,-,-
mbul1263,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
bari1286,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,g,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-
matu1261,-,-,-,-,-,g,-,-,-,-,-,-,-,-,a,-,-,-,-,g,-,-,-,-,-,a,-,-,-,u,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-
geda1237,-,-,-,-,-,g,-,-,-,-,-,-,-,-,o,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,z,-,-,-
geda1237,-,-,-,-,-,k,-,-,-,-,-,-,-,-,a,-,-,-,-,z,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,g,-,-,-
bilb1241,-,-,-,-,-,k,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,-,-
mind1255,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,s,-,-,-
wabb1237,-,-,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,o,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
