language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56
sobe1238,-,-,a,-,f,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tarp1240,-,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,u,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
numb1247,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,u,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
mutu1242,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,b,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,b,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,r,-,u,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,a,-
gitu1237,-,-,-,-,r,-,u,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,a,-
mala1489,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
mala1489,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
mbul1263,-,-,-,-,k,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,e,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
mbul1263,-,-,-,-,k,-,-,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,e,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
kove1237,-,-,-,-,h,-,-,-,-,-,-,a,-,-,-,-,u,x,-,-,-,a,-,-,i,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
kove1237,-,-,-,-,h,-,-,-,-,-,-,a,-,-,-,-,u,x,-,-,-,a,-,-,i,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
bari1286,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
male1289,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,e,-,-,-,N,-,e,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,N,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,N,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,m,-,-,-,-,o,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,m,-,-,-,-,o,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
mala1487,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
