language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
huay1241,-,-,-,w,a,-,-,-,l,-,-,-,-,-,a,S
jauj1238,-,-,-,w,a,-,-,-,l,-,-,-,-,-,a,S
yauy1235,-,-,-,m,a,-,-,-,X,-,-,-,t,-,a,-
hual1241,-,-,-,w,a,-,-,-,n,-,-,-,k,-,a,S
coro1247,-,x,o,b,e,-,-,-,n,-,-,-,-,-,-,-
paca1245,-,-,-,w,a,-,-,-,m,-,-,-,r,-,a,-
caja1238,-,-,-,w,a,-,-,-,m,-,-,-,r,-,a,-
lamb1276,-,-,-,m,a,-,-,-,-,-,-,-,l,t,u,n
napo1242,-,-,-,m,a,-,-,-,l,-,-,-,t,-,a,-
tena1240,-,-,-,m,a,-,-,-,l,-,-,-,t,-,a,-
sout2990,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
sout2990,-,-,-,m,u,-,-,-,s,-,-,-,-,-,u,-
imba1240,-,-,-,x,a,t,u,-,n,w,a,m,b,r,a,-
inga1252,-,-,-,m,u,-,-,-,-,-,-,-,s,-,u,-
cusc1236,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
puno1238,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
east2551,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
east2551,-,-,-,p,a,-,-,s,5,-,-,-,-,-,a,-
east2551,-,-,-,m,a,-,q,t,-,-,-,-,-,-,a,-
ayac1239,-,-,-,m,a,-,X,t,-,-,-,-,-,-,a,-
sout2991,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
sant1432,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
chac1250,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
sanm1289,-,-,-,w,a,-,i,-,n,-,-,-,-,-,a,-
jaqa1244,-,-,-,m,u,-,-,-,-,-,-,-,s,-,u,-
cauq1239,-,-,-,m,u,-,-,-,-,-,-,-,s,-,u,-
chip1262,t,h,o,w,-,-,-,-,-,-,-,-,-,-,a,-
